ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2019,"2019",65712,118,"United States","01000US","united-states"
2019,"2019",62055,446,"Arizona","04000US04","arizona"
2019,"2019",80440,313,"California","04000US06","california"
2019,"2019",63276,1021,"Nevada","04000US32","nevada"
2019,"2019",67058,873,"Oregon","04000US41","oregon"
2019,"2019",77774,850.0000000000001,"Los Angeles-Long Beach-Anaheim, CA","31000US31080","los-angeles-long-beach-anaheim-ca"
2019,"2019",70954,1028,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2019,"2019",83985,1908,"San Diego-Carlsbad, CA","31000US41740","san-diego-carlsbad-ca"
2019,"2019",114696,1964.9999999999998,"San Francisco-Oakland-Hayward, CA","31000US41860","san-francisco-oakland-hayward-ca"
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",59246,732,"Arizona","04000US04","arizona"
2018,"2018",75277,317,"California","04000US06","california"
2018,"2018",58646,1133,"Nevada","04000US32","nevada"
2018,"2018",63426,1056,"Oregon","04000US41","oregon"
2018,"2018",72563,671,"Los Angeles-Long Beach-Anaheim, CA","31000US31080","los-angeles-long-beach-anaheim-ca"
2018,"2018",65671,906,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2018,"2018",79079,1474,"San Diego-Carlsbad, CA","31000US41740","san-diego-carlsbad-ca"
2018,"2018",107898,1779,"San Francisco-Oakland-Hayward, CA","31000US41860","san-francisco-oakland-hayward-ca"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",56581,516,"Arizona","04000US04","arizona"
2017,"2017",71805,294,"California","04000US06","california"
2017,"2017",58003,946.9999999999999,"Nevada","04000US32","nevada"
2017,"2017",60212,796,"Oregon","04000US41","oregon"
2017,"2017",69992,679,"Los Angeles-Long Beach-Anaheim, CA","31000US31080","los-angeles-long-beach-anaheim-ca"
2017,"2017",61994,688,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2017,"2017",76207,1049,"San Diego-Carlsbad, CA","31000US41740","san-diego-carlsbad-ca"
2017,"2017",101714,833,"San Francisco-Oakland-Hayward, CA","31000US41860","san-francisco-oakland-hayward-ca"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",53558,634,"Arizona","04000US04","arizona"
2016,"2016",67739,356,"California","04000US06","california"
2016,"2016",55180,901,"Nevada","04000US32","nevada"
2016,"2016",57532,855.0000000000001,"Oregon","04000US41","oregon"
2016,"2016",65950,494.99999999999994,"Los Angeles-Long Beach-Anaheim, CA","31000US31080","los-angeles-long-beach-anaheim-ca"
2016,"2016",58236,1104,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2016,"2016",70824,995,"San Diego-Carlsbad, CA","31000US41740","san-diego-carlsbad-ca"
2016,"2016",96677,1273,"San Francisco-Oakland-Hayward, CA","31000US41860","san-francisco-oakland-hayward-ca"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",51492,431,"Arizona","04000US04","arizona"
2015,"2015",64500,395,"California","04000US06","california"
2015,"2015",52431,978,"Nevada","04000US32","nevada"
2015,"2015",54148,912.0000000000001,"Oregon","04000US41","oregon"
2015,"2015",62544,556,"Los Angeles-Long Beach-Anaheim, CA","31000US31080","los-angeles-long-beach-anaheim-ca"
2015,"2015",56087,983,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2015,"2015",67320,1448,"San Diego-Carlsbad, CA","31000US41740","san-diego-carlsbad-ca"
2015,"2015",88518,1665,"San Francisco-Oakland-Hayward, CA","31000US41860","san-francisco-oakland-hayward-ca"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",50068,482.99999999999994,"Arizona","04000US04","arizona"
2014,"2014",61933,238,"California","04000US06","california"
2014,"2014",51450,683,"Nevada","04000US32","nevada"
2014,"2014",51075,489.99999999999994,"Oregon","04000US41","oregon"
2014,"2014",60514,399,"Los Angeles-Long Beach-Anaheim, CA","31000US31080","los-angeles-long-beach-anaheim-ca"
2014,"2014",54586,931.9999999999999,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2014,"2014",66192,1085,"San Diego-Carlsbad, CA","31000US41740","san-diego-carlsbad-ca"
2014,"2014",83222,1377,"San Francisco-Oakland-Hayward, CA","31000US41860","san-francisco-oakland-hayward-ca"
2013,"2013",52250,65,"United States","01000US","united-states"
2013,"2013",48510,587,"Arizona","04000US04","arizona"
2013,"2013",60190,255,"California","04000US06","california"
2013,"2013",51230,589,"Nevada","04000US32","nevada"
2013,"2013",50251,532,"Oregon","04000US41","oregon"
2013,"2013",58869,555,"Los Angeles-Long Beach-Anaheim, CA","31000US31080","los-angeles-long-beach-anaheim-ca"
2013,"2013",53220,897,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2013,"2013",61426,812,"San Diego-Carlsbad, CA","31000US41740","san-diego-carlsbad-ca"
2013,"2013",79624,1280,"San Francisco-Oakland-Hayward, CA","31000US41860","san-francisco-oakland-hayward-ca"
