ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2019,"2019",65712,118,"United States","01000US","united-states"
2019,"2019",57603,680,"Indiana","04000US18","indiana"
2019,"2019",52295,625,"Kentucky","04000US21","kentucky"
2019,"2019",59584,572,"Michigan","04000US26","michigan"
2019,"2019",58642,563,"Ohio","04000US39","ohio"
2019,"2019",63463,429,"Pennsylvania","04000US42","pennsylvania"
2019,"2019",48850,1131,"West Virginia","04000US54","west-virginia"
2019,"2019",66825,1322,"Cincinnati, OH-KY-IN","31000US17140","cincinnati-oh-ky-in"
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",55746,522,"Indiana","04000US18","indiana"
2018,"2018",50247,567,"Kentucky","04000US21","kentucky"
2018,"2018",56697,406,"Michigan","04000US26","michigan"
2018,"2018",56111,425.00000000000006,"Ohio","04000US39","ohio"
2018,"2018",60905,315,"Pennsylvania","04000US42","pennsylvania"
2018,"2018",44097,1016,"West Virginia","04000US54","west-virginia"
2018,"2018",62743,1087,"Cincinnati, OH-KY-IN","31000US17140","cincinnati-oh-ky-in"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",54181,658,"Indiana","04000US18","indiana"
2017,"2017",48375,630,"Kentucky","04000US21","kentucky"
2017,"2017",54909,439.99999999999994,"Michigan","04000US26","michigan"
2017,"2017",54021,411,"Ohio","04000US39","ohio"
2017,"2017",59195,443,"Pennsylvania","04000US42","pennsylvania"
2017,"2017",43469,1393,"West Virginia","04000US54","west-virginia"
2017,"2017",61653,967,"Cincinnati, OH-KY-IN","31000US17140","cincinnati-oh-ky-in"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",52314,371,"Indiana","04000US18","indiana"
2016,"2016",46659,600,"Kentucky","04000US21","kentucky"
2016,"2016",52492,402,"Michigan","04000US26","michigan"
2016,"2016",52334,275,"Ohio","04000US39","ohio"
2016,"2016",56907,360,"Pennsylvania","04000US42","pennsylvania"
2016,"2016",43385,1112,"West Virginia","04000US54","west-virginia"
2016,"2016",60260,1049,"Cincinnati, OH-KY-IN","31000US17140","cincinnati-oh-ky-in"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",50532,387,"Indiana","04000US18","indiana"
2015,"2015",45215,470,"Kentucky","04000US21","kentucky"
2015,"2015",51084,244,"Michigan","04000US26","michigan"
2015,"2015",51075,232.99999999999997,"Ohio","04000US39","ohio"
2015,"2015",55702,377,"Pennsylvania","04000US42","pennsylvania"
2015,"2015",42019,793,"West Virginia","04000US54","west-virginia"
2015,"2015",56826,895,"Cincinnati, OH-KY-IN","31000US17140","cincinnati-oh-ky-in"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",49446,487.00000000000006,"Indiana","04000US18","indiana"
2014,"2014",42958,697,"Kentucky","04000US21","kentucky"
2014,"2014",49847,385,"Michigan","04000US26","michigan"
2014,"2014",49308,363,"Ohio","04000US39","ohio"
2014,"2014",53234,420,"Pennsylvania","04000US42","pennsylvania"
2014,"2014",41059,651,"West Virginia","04000US54","west-virginia"
2014,"2014",55729,946.9999999999999,"Cincinnati, OH-KY-IN","31000US17140","cincinnati-oh-ky-in"
2013,"2013",52250,65,"United States","01000US","united-states"
2013,"2013",47529,516,"Indiana","04000US18","indiana"
2013,"2013",43399,650,"Kentucky","04000US21","kentucky"
2013,"2013",48273,378,"Michigan","04000US26","michigan"
2013,"2013",48081,406,"Ohio","04000US39","ohio"
2013,"2013",52007,256,"Pennsylvania","04000US42","pennsylvania"
2013,"2013",41253,746,"West Virginia","04000US54","west-virginia"
2013,"2013",53378,1248,"Cincinnati, OH-KY-IN","31000US17140","cincinnati-oh-ky-in"
