Notes,State,State Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Jan., 2015",2015/01,322,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Feb., 2015",2015/02,363,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Mar., 2015",2015/03,269,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Apr., 2015",2015/04,269,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"May, 2015",2015/05,308,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Jun., 2015",2015/06,281,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Jul., 2015",2015/07,433,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Aug., 2015",2015/08,434,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Sep., 2015",2015/09,328,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Oct., 2015",2015/10,277,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Nov., 2015",2015/11,266,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,"Dec., 2015",2015/12,309,Not Applicable,Not Applicable
Total,Florida,12,All other non-drug and non-alcohol causes,O,2015,2015,,,3859,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Jan., 2016",2016/01,306,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Feb., 2016",2016/02,411,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Mar., 2016",2016/03,530,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"Apr., 2016",2016/04,423,Not Applicable,Not Applicable
,Florida,12,All other non-drug and non-alcohol causes,O,2016,2016,"May, 2016",2016/05,420,Not Applicable,Not Applicable
