Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,State,State Code,County,County Code,Race,Race Code,Year,Year Code,Deaths,Population,Crude Rate
,15-24 years,15-24,New York,36,"Bronx County, NY",36005,White,2106-3,2016,2016,17,98204,Unreliable
,15-24 years,15-24,New York,36,"Bronx County, NY",36005,White,2106-3,2018,2018,12,90489,Unreliable
,15-24 years,15-24,New York,36,"Dutchess County, NY",36027,White,2106-3,2013,2013,10,37705,Unreliable
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2009,2009,10,103658,Unreliable
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2010,2010,11,103158,Unreliable
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2011,2011,23,102011,22.5
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2013,2013,12,98086,Unreliable
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2014,2014,24,95534,25.1
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2015,2015,27,92786,29.1
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2016,2016,35,90949,38.5
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2017,2017,27,89088,30.3
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2018,2018,13,87221,Unreliable
,15-24 years,15-24,New York,36,"Erie County, NY",36029,White,2106-3,2019,2019,14,85937,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2000,2000,10,174648,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2001,2001,17,176257,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2002,2002,15,175063,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2003,2003,10,173205,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2004,2004,12,171253,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2005,2005,12,169204,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2006,2006,15,168197,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2010,2010,11,170969,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2011,2011,11,167686,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2012,2012,14,165127,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2014,2014,16,156167,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2016,2016,18,148673,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2017,2017,19,145866,Unreliable
,15-24 years,15-24,New York,36,"Kings County, NY",36047,White,2106-3,2018,2018,12,140543,Unreliable
,15-24 years,15-24,New York,36,"Monroe County, NY",36055,White,2106-3,2013,2013,14,82293,Unreliable
,15-24 years,15-24,New York,36,"Monroe County, NY",36055,White,2106-3,2015,2015,14,77959,Unreliable
