Notes,State,State Code,Year,Year Code,UCD - ICD Chapter,UCD - ICD Chapter Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,Alabama,1,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,169,4430141,3.8
Total,Alabama,1,1999,1999,External causes of morbidity and mortality,V01-Y89,,,169,4430141,3.8
Total,Alabama,1,1999,1999,,,,,169,4430141,3.8
,Alabama,1,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,197,4447100,4.4
Total,Alabama,1,2000,2000,External causes of morbidity and mortality,V01-Y89,,,197,4447100,4.4
Total,Alabama,1,2000,2000,,,,,197,4447100,4.4
,Alabama,1,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,215,4467634,4.8
Total,Alabama,1,2001,2001,External causes of morbidity and mortality,V01-Y89,,,215,4467634,4.8
Total,Alabama,1,2001,2001,,,,,215,4467634,4.8
,Alabama,1,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,210,4480089,4.7
Total,Alabama,1,2002,2002,External causes of morbidity and mortality,V01-Y89,,,210,4480089,4.7
Total,Alabama,1,2002,2002,,,,,210,4480089,4.7
,Alabama,1,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,197,4503491,4.4
Total,Alabama,1,2003,2003,External causes of morbidity and mortality,V01-Y89,,,197,4503491,4.4
Total,Alabama,1,2003,2003,,,,,197,4503491,4.4
,Alabama,1,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,283,4530729,6.2
Total,Alabama,1,2004,2004,External causes of morbidity and mortality,V01-Y89,,,283,4530729,6.2
Total,Alabama,1,2004,2004,,,,,283,4530729,6.2
,Alabama,1,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,283,4569805,6.2
Total,Alabama,1,2005,2005,External causes of morbidity and mortality,V01-Y89,,,283,4569805,6.2
Total,Alabama,1,2005,2005,,,,,283,4569805,6.2
,Alabama,1,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,398,4628981,8.6
Total,Alabama,1,2006,2006,External causes of morbidity and mortality,V01-Y89,,,398,4628981,8.6
Total,Alabama,1,2006,2006,,,,,398,4628981,8.6
,Alabama,1,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,511,4672840,10.9
Total,Alabama,1,2007,2007,External causes of morbidity and mortality,V01-Y89,,,511,4672840,10.9
Total,Alabama,1,2007,2007,,,,,511,4672840,10.9
,Alabama,1,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,605,4718206,12.8
Total,Alabama,1,2008,2008,External causes of morbidity and mortality,V01-Y89,,,605,4718206,12.8
Total,Alabama,1,2008,2008,,,,,605,4718206,12.8
,Alabama,1,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,630,4757938,13.2
Total,Alabama,1,2009,2009,External causes of morbidity and mortality,V01-Y89,,,630,4757938,13.2
Total,Alabama,1,2009,2009,,,,,630,4757938,13.2
,Alabama,1,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,546,4779736,11.4
Total,Alabama,1,2010,2010,External causes of morbidity and mortality,V01-Y89,,,546,4779736,11.4
Total,Alabama,1,2010,2010,,,,,546,4779736,11.4
,Alabama,1,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,552,4802740,11.5
Total,Alabama,1,2011,2011,External causes of morbidity and mortality,V01-Y89,,,552,4802740,11.5
Total,Alabama,1,2011,2011,,,,,552,4802740,11.5
,Alabama,1,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,561,4822023,11.6
Total,Alabama,1,2012,2012,External causes of morbidity and mortality,V01-Y89,,,561,4822023,11.6
Total,Alabama,1,2012,2012,,,,,561,4822023,11.6
,Alabama,1,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,598,4833722,12.4
Total,Alabama,1,2013,2013,External causes of morbidity and mortality,V01-Y89,,,598,4833722,12.4
Total,Alabama,1,2013,2013,,,,,598,4833722,12.4
,Alabama,1,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,723,4849377,14.9
Total,Alabama,1,2014,2014,External causes of morbidity and mortality,V01-Y89,,,723,4849377,14.9
Total,Alabama,1,2014,2014,,,,,723,4849377,14.9
,Alabama,1,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,735,4858979,15.1
Total,Alabama,1,2015,2015,External causes of morbidity and mortality,V01-Y89,,,735,4858979,15.1
Total,Alabama,1,2015,2015,,,,,735,4858979,15.1
,Alabama,1,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,756,4863300,15.5
Total,Alabama,1,2016,2016,External causes of morbidity and mortality,V01-Y89,,,756,4863300,15.5
Total,Alabama,1,2016,2016,,,,,756,4863300,15.5
,Alabama,1,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,834,4874747,17.1
Total,Alabama,1,2017,2017,External causes of morbidity and mortality,V01-Y89,,,834,4874747,17.1
Total,Alabama,1,2017,2017,,,,,834,4874747,17.1
,Alabama,1,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,775,4887871,15.9
Total,Alabama,1,2018,2018,External causes of morbidity and mortality,V01-Y89,,,775,4887871,15.9
Total,Alabama,1,2018,2018,,,,,775,4887871,15.9
,Alabama,1,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,767,4903185,15.6
Total,Alabama,1,2019,2019,External causes of morbidity and mortality,V01-Y89,,,767,4903185,15.6
Total,Alabama,1,2019,2019,,,,,767,4903185,15.6
Total,Alabama,1,,,,,,,10545,98682634,10.7
,Alaska,2,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,46,624779,7.4
Total,Alaska,2,1999,1999,External causes of morbidity and mortality,V01-Y89,,,46,624779,7.4
Total,Alaska,2,1999,1999,,,,,46,624779,7.4
,Alaska,2,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,48,626932,7.7
Total,Alaska,2,2000,2000,External causes of morbidity and mortality,V01-Y89,,,48,626932,7.7
Total,Alaska,2,2000,2000,,,,,48,626932,7.7
,Alaska,2,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,62,633714,9.8
Total,Alaska,2,2001,2001,External causes of morbidity and mortality,V01-Y89,,,62,633714,9.8
Total,Alaska,2,2001,2001,,,,,62,633714,9.8
,Alaska,2,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,83,642337,12.9
Total,Alaska,2,2002,2002,External causes of morbidity and mortality,V01-Y89,,,83,642337,12.9
Total,Alaska,2,2002,2002,,,,,83,642337,12.9
,Alaska,2,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,83,648414,12.8
Total,Alaska,2,2003,2003,External causes of morbidity and mortality,V01-Y89,,,83,648414,12.8
Total,Alaska,2,2003,2003,,,,,83,648414,12.8
,Alaska,2,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,86,659286,13
Total,Alaska,2,2004,2004,External causes of morbidity and mortality,V01-Y89,,,86,659286,13
Total,Alaska,2,2004,2004,,,,,86,659286,13
,Alaska,2,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,79,666946,11.8
Total,Alaska,2,2005,2005,External causes of morbidity and mortality,V01-Y89,,,79,666946,11.8
Total,Alaska,2,2005,2005,,,,,79,666946,11.8
,Alaska,2,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,76,675302,11.3
Total,Alaska,2,2006,2006,External causes of morbidity and mortality,V01-Y89,,,76,675302,11.3
Total,Alaska,2,2006,2006,,,,,76,675302,11.3
,Alaska,2,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,72,680300,10.6
Total,Alaska,2,2007,2007,External causes of morbidity and mortality,V01-Y89,,,72,680300,10.6
Total,Alaska,2,2007,2007,,,,,72,680300,10.6
,Alaska,2,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,125,687455,18.2
Total,Alaska,2,2008,2008,External causes of morbidity and mortality,V01-Y89,,,125,687455,18.2
Total,Alaska,2,2008,2008,,,,,125,687455,18.2
,Alaska,2,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,131,698895,18.7
Total,Alaska,2,2009,2009,External causes of morbidity and mortality,V01-Y89,,,131,698895,18.7
Total,Alaska,2,2009,2009,,,,,131,698895,18.7
,Alaska,2,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,83,710231,11.7
Total,Alaska,2,2010,2010,External causes of morbidity and mortality,V01-Y89,,,83,710231,11.7
Total,Alaska,2,2010,2010,,,,,83,710231,11.7
,Alaska,2,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,107,722718,14.8
Total,Alaska,2,2011,2011,External causes of morbidity and mortality,V01-Y89,,,107,722718,14.8
Total,Alaska,2,2011,2011,,,,,107,722718,14.8
,Alaska,2,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,129,731449,17.6
Total,Alaska,2,2012,2012,External causes of morbidity and mortality,V01-Y89,,,129,731449,17.6
Total,Alaska,2,2012,2012,,,,,129,731449,17.6
,Alaska,2,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,105,735132,14.3
Total,Alaska,2,2013,2013,External causes of morbidity and mortality,V01-Y89,,,105,735132,14.3
Total,Alaska,2,2013,2013,,,,,105,735132,14.3
,Alaska,2,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,124,736732,16.8
Total,Alaska,2,2014,2014,External causes of morbidity and mortality,V01-Y89,,,124,736732,16.8
Total,Alaska,2,2014,2014,,,,,124,736732,16.8
,Alaska,2,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,122,738432,16.5
Total,Alaska,2,2015,2015,External causes of morbidity and mortality,V01-Y89,,,122,738432,16.5
Total,Alaska,2,2015,2015,,,,,122,738432,16.5
,Alaska,2,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,128,741894,17.3
Total,Alaska,2,2016,2016,External causes of morbidity and mortality,V01-Y89,,,128,741894,17.3
Total,Alaska,2,2016,2016,,,,,128,741894,17.3
,Alaska,2,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,146,739795,19.7
Total,Alaska,2,2017,2017,External causes of morbidity and mortality,V01-Y89,,,146,739795,19.7
Total,Alaska,2,2017,2017,,,,,146,739795,19.7
,Alaska,2,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,110,737438,14.9
Total,Alaska,2,2018,2018,External causes of morbidity and mortality,V01-Y89,,,110,737438,14.9
Total,Alaska,2,2018,2018,,,,,110,737438,14.9
,Alaska,2,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,132,731545,18
Total,Alaska,2,2019,2019,External causes of morbidity and mortality,V01-Y89,,,132,731545,18
Total,Alaska,2,2019,2019,,,,,132,731545,18
Total,Alaska,2,,,,,,,2077,14569726,14.3
,Arizona,4,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,511,5023823,10.2
Total,Arizona,4,1999,1999,External causes of morbidity and mortality,V01-Y89,,,511,5023823,10.2
Total,Arizona,4,1999,1999,,,,,511,5023823,10.2
,Arizona,4,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,522,5130632,10.2
Total,Arizona,4,2000,2000,External causes of morbidity and mortality,V01-Y89,,,522,5130632,10.2
Total,Arizona,4,2000,2000,,,,,522,5130632,10.2
,Arizona,4,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,549,5273477,10.4
Total,Arizona,4,2001,2001,External causes of morbidity and mortality,V01-Y89,,,549,5273477,10.4
Total,Arizona,4,2001,2001,,,,,549,5273477,10.4
,Arizona,4,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,621,5396255,11.5
Total,Arizona,4,2002,2002,External causes of morbidity and mortality,V01-Y89,,,621,5396255,11.5
Total,Arizona,4,2002,2002,,,,,621,5396255,11.5
,Arizona,4,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,672,5510364,12.2
Total,Arizona,4,2003,2003,External causes of morbidity and mortality,V01-Y89,,,672,5510364,12.2
Total,Arizona,4,2003,2003,,,,,672,5510364,12.2
,Arizona,4,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,742,5652404,13.1
Total,Arizona,4,2004,2004,External causes of morbidity and mortality,V01-Y89,,,742,5652404,13.1
Total,Arizona,4,2004,2004,,,,,742,5652404,13.1
,Arizona,4,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,794,5839077,13.6
Total,Arizona,4,2005,2005,External causes of morbidity and mortality,V01-Y89,,,794,5839077,13.6
Total,Arizona,4,2005,2005,,,,,794,5839077,13.6
,Arizona,4,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,876,6029141,14.5
Total,Arizona,4,2006,2006,External causes of morbidity and mortality,V01-Y89,,,876,6029141,14.5
Total,Arizona,4,2006,2006,,,,,876,6029141,14.5
,Arizona,4,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,942,6167681,15.3
Total,Arizona,4,2007,2007,External causes of morbidity and mortality,V01-Y89,,,942,6167681,15.3
Total,Arizona,4,2007,2007,,,,,942,6167681,15.3
,Arizona,4,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,827,6280362,13.2
Total,Arizona,4,2008,2008,External causes of morbidity and mortality,V01-Y89,,,827,6280362,13.2
Total,Arizona,4,2008,2008,,,,,827,6280362,13.2
,Arizona,4,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1001,6343154,15.8
Total,Arizona,4,2009,2009,External causes of morbidity and mortality,V01-Y89,,,1001,6343154,15.8
Total,Arizona,4,2009,2009,,,,,1001,6343154,15.8
,Arizona,4,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1098,6392017,17.2
Total,Arizona,4,2010,2010,External causes of morbidity and mortality,V01-Y89,,,1098,6392017,17.2
Total,Arizona,4,2010,2010,,,,,1098,6392017,17.2
,Arizona,4,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1071,6482505,16.5
Total,Arizona,4,2011,2011,External causes of morbidity and mortality,V01-Y89,,,1071,6482505,16.5
Total,Arizona,4,2011,2011,,,,,1071,6482505,16.5
,Arizona,4,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1134,6553255,17.3
Total,Arizona,4,2012,2012,External causes of morbidity and mortality,V01-Y89,,,1134,6553255,17.3
Total,Arizona,4,2012,2012,,,,,1134,6553255,17.3
,Arizona,4,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1221,6626624,18.4
Total,Arizona,4,2013,2013,External causes of morbidity and mortality,V01-Y89,,,1221,6626624,18.4
Total,Arizona,4,2013,2013,,,,,1221,6626624,18.4
,Arizona,4,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1210,6731484,18
Total,Arizona,4,2014,2014,External causes of morbidity and mortality,V01-Y89,,,1210,6731484,18
Total,Arizona,4,2014,2014,,,,,1210,6731484,18
