"B12503_001E","B12503_001M","B12503_002E","B12503_002M","B12503_003E","B12503_003M","B12503_004E","B12503_004M","B12503_005E","B12503_005M","B12503_006E","B12503_006M","B12503_007E","B12503_007M","B12503_008E","B12503_008M","B12503_009E","B12503_009M","B12503_010E","B12503_010M","B12503_011E","B12503_011M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Ever married","Margin of Error!!Total!!Male!!Ever married","Estimate!!Total!!Male!!Ever married!!Divorced last year","Margin of Error!!Total!!Male!!Ever married!!Divorced last year","Estimate!!Total!!Male!!Ever married!!Not divorced last year","Margin of Error!!Total!!Male!!Ever married!!Not divorced last year","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Ever married","Margin of Error!!Total!!Female!!Ever married","Estimate!!Total!!Female!!Ever married!!Divorced last year","Margin of Error!!Total!!Female!!Ever married!!Divorced last year","Estimate!!Total!!Female!!Ever married!!Not divorced last year","Margin of Error!!Total!!Female!!Ever married!!Not divorced last year","id","Geographic Area Name"
"3972124","3503","1895814","3709","657497","10366","1238317","9727","18304","2646","1220013","10014","2076310","3989","609482","7910","1466828","8674","22690","2943","1444138","8562","0400000US01","Alabama"
"583639","1229","307088","1526","117253","4123","189835","4009","2780","912","187055","3881","276551","1567","81422","3730","195129","3621","2142","805","192987","3503","0400000US02","Alaska"
"5663228","2008","2797660","2475","1038238","11413","1759422","11665","25544","2861","1733878","11881","2865568","1852","858557","10273","2007011","10059","24076","2470","1982935","10066","0400000US04","Arizona"
"2418049","3055","1179013","3349","368758","7792","810255","8200","13388","2104","796867","8644","1239036","3521","304307","7050","934729","7078","16520","2235","918209","7484","0400000US05","Arkansas"
"32009857","3422","15802609","4183","6457535","27984","9345074","27831","97315","5481","9247759","28149","16207248","3926","5453614","27756","10753634","27485","112111","6167","10641523","27819","0400000US06","California"
"4558575","2194","2281955","2677","819807","10045","1462148","10323","18616","2383","1443532","9843","2276620","2384","647734","9193","1628886","8878","23185","2548","1605701","9272","0400000US08","Colorado"
"2986837","1938","1442504","2026","550228","6766","892276","6910","10618","1762","881658","7103","1544333","1981","497398","8104","1046935","7446","10775","1844","1036160","7146","0400000US09","Connecticut"
"792511","507","379153","1265","135859","4520","243294","4433","2035","666","241259","4558","413358","1113","133312","4559","280046","4185","4730","1405","275316","4435","0400000US10","Delaware"
"585161","295","274333","549","161791","3736","112542","3742","1411","552","111131","3808","310828","574","172944","3460","137884","3498","1079","625","136805","3509","0400000US11","District of Columbia"
"17514198","4283","8482987","5321","2989886","22852","5493101","22213","67752","5618","5425349","22277","9031211","5206","2578311","24912","6452900","23889","74210","5077","6378690","24031","0400000US12","Florida"
"8349724","5029","4009958","5500","1489940","17838","2520018","17166","37756","4290","2482262","17529","4339766","5289","1382082","14959","2957684","15269","39539","3914","2918145","15002","0400000US13","Georgia"
"1167820","763","582993","1022","224290","5636","358703","5586","2958","768","355745","5587","584827","867","167608","4051","417219","3939","2994","804","414225","3856","0400000US15","Hawaii"
"1349449","1444","673450","2568","209896","5978","463554","6213","6352","1280","457202","6409","675999","2312","164824","5983","511175","6034","7785","1972","503390","6119","0400000US16","Idaho"
"10413077","3234","5075158","4009","1963505","15728","3111653","15882","29832","2416","3081821","16013","5337919","3881","1743472","13909","3594447","14214","33270","3016","3561177","14506","0400000US17","Illinois"
"5364611","3364","2615670","4239","916799","10045","1698871","9788","23863","2178","1675008","9768","2748941","4345","769583","11310","1979358","10432","24510","2624","1954848","10241","0400000US18","Indiana"
"2537862","2815","1252885","3375","420617","6194","832268","6589","8527","1225","823741","6662","1284977","2723","338142","5715","946835","6337","10044","1668","936791","6163","0400000US19","Iowa"
