"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree","id","Geographic Area Name"
"3337464","5727","38490","3716","610","316","523","403","480","315","1708","914","3887","1042","4273","1537","6355","1399","18398","2650","20086","2587","36782","4085","63408","5015","93253","5597","98372","6000","61554","4541","848061","15231","178915","7145","201877","7917","520110","12603","288285","9242","536086","12549","229484","8225","50881","3702","35586","3479","0400000US01","Alabama"
"485353","1509","4140","1424","0","157","0","157","108","131","342","241","376","202","224","150","423","224","889","345","1068","589","4453","906","2283","560","5099","1000","8044","1408","4995","1016","111553","4606","25740","2376","37391","3074","91859","4090","39938","2719","89635","4239","38582","2278","10849","2077","7362","1737","0400000US02","Alaska"
"4840304","2472","68559","4582","755","395","855","587","3475","1052","5913","1591","13582","2082","7764","1594","12521","2140","59733","4602","14938","2198","68450","5107","78698","5373","69513","4072","91508","5425","109670","5850","970146","15823","189151","6584","360418","9188","847740","14887","428422","10128","898032","13525","389350","10817","88079","4744","63032","4734","0400000US04","Arizona"
"2021939","5228","21221","2232","95","120","68","85","522","464","1795","754","4624","1192","3404","1139","5956","1734","15651","2565","12620","2051","26559","2338","39499","3627","41802","3667","51405","3587","33765","2935","570551","11428","116316","5235","133319","5571","317349","11120","154143","7102","296422","7793","125495","5589","30069","2816","19289","2334","0400000US05","Arkansas"
"26815644","5670","707733","15196","8356","1664","11445","2553","37857","4217","80282","5403","164621","8060","103541","5767","139387","8431","737130","16582","116916","6375","288958","11109","477898","12027","331447","11257","447863","11324","701583","11966","4932237","34478","627125","14146","1500321","20560","4089325","38647","2140543","20435","5704852","36697","2365794","28463","654240","14143","446190","9941","0400000US06","California"
"3900287","4963","38271","3887","1126","812","919","445","1274","710","2825","1159","5430","1326","2634","885","8104","1857","32553","4202","8393","1718","26134","3293","40150","4039","39596","4166","55116","4315","54591","4385","661387","14708","151228","6702","245372","8103","570380","12603","329255","11244","1013989","14602","444914","9007","98977","4662","67669","4160","0400000US08","Colorado"
"2493396","2471","26439","2872","358","231","412","271","852","504","2124","843","4102","1271","5019","1506","8015","1865","18223","3231","7912","1964","24263","2748","29045","2882","30877","2821","34671","3412","33942","2905","594528","12420","75439","4785","131873","5866","282101","9438","195971","7807","544028","9883","325902","8349","75528","4095","41772","3130","0400000US09","Connecticut"
"679700","997","5547","1256","161","154","176","180","298","465","371","477","706","465","326","294","1831","902","7379","2032","1790","694","7638","1713","8646","2025","12814","2049","10788","1856","10610","1793","206004","7948","19793","1917","39185","2971","80997","5199","51648","3385","124178","5383","66391","4020","10766","1524","11657","1742","0400000US10","Delaware"
"500176","606","4994","1572","0","213","0","213","0","213","645","708","464","518","0","213","2384","1032","2163","901","1635","819","4249","1317","3567","1146","5640","1569","8115","1708","5772","1392","67855","5026","15045","2224","17992","2575","43538","3908","13948","2384","129782","5128","109855","4834","42734","4106","19799","2225","0400000US11","District of Columbia"
"15302125","8947","237501","10730","5166","1327","3509","1022","7769","1782","17284","3201","32907","3878","31824","4103","45894","4911","132549","8351","61278","5370","133191","8160","200003","10214","246033","12072","267367","9280","339457","12227","3752049","39292","635905","14877","992488","19916","2023211","22285","1489510","27713","2920459","33508","1190545","17768","354163","10164","182063","7517","0400000US12","Florida"
"6978172","8431","89695","5751","2328","1140","1500","771","3614","1508","6885","1890","15524","2894","8842","2238","16174","2737","61898","5698","31498","3228","70762","5287","113420","7754","159656","7377","163775","8927","120528","7316","1612167","21998","329955","10334","386817","11961","996327","19640","562774","14849","1362317","19680","606345","15022","156547","7547","98824","5055","0400000US13","Georgia"
"995589","1657","11827","2127","53","88","322","325","879","512","1313","1014","1847","735","1482","551","1521","725","9805","1677","3170","921","6313","1416","8240","2005","9504","1619","10428","2039","13375","2122","244008","8205","22720","2203","58960","3504","145692","6418","110557","5480","218828","6969","79475","4256","21301","2259","13969","1772","0400000US15","Hawaii"
"1143747","3457","9372","1688","271","311","134","123","1132","687","754","459","2632","1154","1523","908","1163","630","9510","2183","2392","1007","11809","2549","9118","1320","14643","2116","19913","2667","19502","2863","256141","9207","62077","5372","95336","5088","196740","8562","113323","6166","213462","7584","72465","4968","16764","2146","13571","1798","0400000US16","Idaho"
"8706376","5516","116424","5924","1735","616","2108","789","3949","1318","8831","1873","16350","2125","15518","2409","19264","2768","94698","7049","26149","2329","98854","5731","89740","5321","117780","5797","144577","7599","158805","6685","1954212","20569","315073","8597","574145","10956","1190629","17595","704851","13834","1833666","19837","887459","15355","206789","7980","124770","5156","0400000US17","Illinois"
"4467893","5468","42994","3715","737","500","889","419","838","421","1033","694","5845","1566","5409","1445","4804","1329","21013","3158","11951","1953","68959","5007","66732","4295","88713","5083","95261","4964","76656","4609","1255109","16431","224931","7528","308980","9389","578149","13360","397824","9531","771811","14407","325867","10346","65283","4892","48105","3840","0400000US18","Indiana"
"2104792","4251","18855","2154","508","244","521","294","775","676","661","415","2516","921","1205","586","2875","950","11063","2434","4412","1085","21561","2075","18659","1957","26052","2522","29901","2714","23085","1900","566515","10425","82754","4407","153714","4636","280623","7397","247997","6992","413442","8907","133905","6234","35684","2789","27509","2792","0400000US19","Iowa"
